Block,Container,Species,Width_mm,Aperture_mm,Index
2,1,snail,9.9,5.7,1.736842105
2,1,snail,13,6.5,2
2,1,snail,11.9,6.1,1.950819672
2,1,snail,10.7,5.7,1.877192982
2,1,snail,11.3,5.6,2.017857143
2,23,snail,13,5.5,2.363636364
2,23,snail,11.7,6.3,1.857142857
2,23,snail,13.6,6.3,2.158730159
2,23,snail,12.1,5.9,2.050847458
2,18,snail,14.4,7,2.057142857
2,18,snail,12.8,6.2,2.064516129
2,34,snail,12.7,6.3,2.015873016
2,34,snail,11.7,6,1.95
2,34,snail,12.5,6,2.083333333
2,34,snail,12.7,6.3,2.015873016
2,34,snail,11.5,5.7,2.01754386
2,34,snail,11.8,6.3,1.873015873
2,34,snail,11,6.1,1.803278689
2,34,snail,11.8,6,1.966666667
2,34,snail,10.8,6.1,1.770491803
2,34,snail,13.3,6.7,1.985074627
2,34,snail,15.1,6.4,2.359375
2,34,snail,12.6,6,2.1
2,34,snail,13.2,6,2.2
2,34,snail,11.8,6,1.966666667
2,34,snail,10.9,5.9,1.847457627
2,34,snail,12.2,6,2.033333333
